etapa,manzana,lote,ubicacion_casa,area_total,costo_terreno_m2,costo_construccion_m2,,modulo_m2,,,aplica_calle,aplica_parque,,,bono,,,,,,,,,,,,,,,,
PRIMERA,F,6,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,F,7,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,F,8,ESPECIAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242",INICIAL DE 5000,"S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,F,9,ESPECIAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242",INICIAL DE 5000,"S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,F,10,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,F,11,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,F,12,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,F,13,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,F,14,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,F,15,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,F,16,NORMAL,97.01,600,1697,58206,50.6,85868,144074,,,"S/ 144,074","S/ 158,482",46545,"S/ 97,529","S/ 111,937","S/ 118,937","S/ 117,937","S/ 116,937","S/ 115,937","S/ 12,999","S/ 16,647",,,,,,,,
PRIMERA,G,1,ESPECIAL,97.4,600,1697,58440,50.6,85868,144308,1443,,"S/ 145,751","S/ 160,326",46545,"S/ 99,206","S/ 113,781",INICIAL DE 5000,"S/ 119,781","S/ 118,781","S/ 117,781","S/ 13,052","S/ 16,647",,,,,,,,
PRIMERA,G,2,NORMAL,70.2,600,1697,42120,50.6,85868,127988,1280,,"S/ 129,268","S/ 142,195",46545,"S/ 82,723","S/ 95,650","S/ 102,650","S/ 101,650","S/ 100,650","S/ 99,650","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,G,3,NORMAL,70.2,600,1697,42120,50.6,85868,127988,1280,,"S/ 129,268","S/ 142,195",46545,"S/ 82,723","S/ 95,650","S/ 102,650","S/ 101,650","S/ 100,650","S/ 99,650","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,G,4,NORMAL,70.2,600,1697,42120,50.6,85868,127988,1280,,"S/ 129,268","S/ 142,195",46545,"S/ 82,723","S/ 95,650","S/ 102,650","S/ 101,650","S/ 100,650","S/ 99,650","S/ 9,407","S/ 16,647",,,,,,,,
